TweetID,From User,Tweet
274204137539919872,ehm_no,"Hand stand competitions with my brother and his friends cause #SWAG"
274204082749702145,TheGregAlan,"I turned my #SWAG on this morning to full power!"
274204079444615169,dunny_v,"RT @Bad_Advice_Dog: #swag > success"
274204059244830720,gawwwjussK,"RT @qdiggs6: @H_Josey20: Stuntin with his uncle Quandre Ray Bans on @qdiggs6 #swag http://t.co/AqnDbXQG”he learning from the best!"
274204055318966272,Mario_Monster,"RT @SingleGayLife: How HOT does Britney look in the Scream & Shout video? #swag #hotmomma 🔥🔥🔥"
274204031126228992,Zach_Rhodes34,"Cine: #pretzel #ciggy #swag http://t.co/hsamEvyY"
274204024331440130,zandy_tkm,"RT @JorgeCavazosR: Con mi nuevo sombrerito yeaaa #Swag http://t.co/XXl7ICwU"
274204021445754880,yo_boi_zuri,"@Taylor_Rigg #swag that's why!"
274204012767764480,timkasher,"Got a bidet swirly in 3rd grade, terrified ever since. Also, hi! RT @LauraAndTheCans: somebody should treat himself to a bidet. #swag"
274204002525257729,PresidentKstamp,"#tbt #swag http://t.co/jnaqjrNh"
274204001795440640,Joel_Wallace,"I love all the #swag that is available at conferences. #NLCBOS"
274203982363242496,Niki_Hihi,"#tired #bored #camwaw #love #girl #boy #me #blabla #love #ya #swag #not #instabored #sick #dark #sleepy 💞 http://t.co/xEMwH0qW"
274203956996091904,MsSwag_,"#Swag #Believe http://t.co/WSdyMJ1Z"
274203933575090176,KTconner_x,"RT @nosexwithjoey: Dearly beloved, if this 💙 only exists in our dreams. Don't wake me up. #swag #snapback #raiders #toronto #co http://t.co/cuULvHmY"
274203918010036224,LoisCarmona,"@caitzbiebz you do remember what #Swag means?? (Secretly We Are Gay)"
274203908610592770,Alram0111,"RT @SingleGayLife: How HOT does Britney look in the Scream & Shout video? #swag #hotmomma 🔥🔥🔥"
274203880403922944,MrSisterClothin,"RT @Chris_ituation: @MrSisterClothin Love both of these! #swag"
274203875479810048,DianaLlauget,"RT @RobbyRasReviews: #CigarChat with @Cigardivat of @JDCigars today at 4PM PST http://t.co/P481jyZx Many a sampler to giveaway! #SWAG @LoganatDell"
274203871449075712,LastKingsOrDiee,"When I get paid ima put money towards my car, Getting 2 tats then gripping up a polo sweater& Some shirts & Nike boots &lebrons #Swag"
274203844811030528,LeaKitt,"@Dalton_Slade #modelstatus #swag 💁📷"
274203816772112384,AlixHerdt,"RT @TeamFollowWacky: Ｒｅｔｗｅｅｔ Ｉｆ Ｙｏｕ Ｗａｎｔ Ｆｏｌｌｏｗｅｒｓ #TeamFollowBack #TeamFollowWacky #500ADay #FollowFriday #FF #TFB #FollowNGain #swag (must be following me)"
274203816113627136,Priaxx,"Too many family members getting tattoos. #tattoos #swag #WTF"
274203795649597440,JhonnyTvMendez,"Try application #aoret2.tk to add followers,retweets,favorites #FollowMe #InstantFollow #Openfollow #F4F #jfb #TFB #swag #FF 54467"
274203788955512832,zandy_tkm,"RT @JorgeCavazosR: Yeaaaaaa #Swag http://t.co/IZvPGR9D"
274203776808808449,HoesLoveSerge,"#Swag RT @_laylow10 Soo hungry /:"
274203771150688256,zandy_tkm,"RT @JorgeCavazosR: La Ciudad De Monterrey En Plena Hora De La Tarde #Swag http://t.co/Cy29NikA"
274203768231428096,Kallabat123,"rshammz @chrissagherian @marrianne10 #tbt #birthday #party #swag http://t.co/LlXTJczZ"
274203767807803392,MirnaAsr,"RT @DaBiebahSmile: RT and I'll rate your account #Swag"
274203764334944257,TerrellClement,"RT @Carterboi24: @TerrellClement not quite homie....ya boi on campus 2 #SwAG"
274203755145224192,O_Aldava,"RT @SingleGayLife: How HOT does Britney look in the Scream & Shout video? #swag #hotmomma 🔥🔥🔥"
274203755015192578,SabrinaChyld,"Studio session done... #HappyDays! #smiles #swag #studio #music #art #artist @seanmccabemusic #life #work #i http://t.co/GlbTzj8p"
274203751504560128,kimberlyyonson,"#Swag #dream #justinbieber #love #beliebers #teambieber #BELIEVE ♥"
274203744760115200,doctormooney,"Tweed Hysterics #swag #me #jj_forum_0467 http://t.co/9VrW3juA"
274203744126779394,RealCHubertz,"@MikeNelson2277 black socks with any color sandals = @zernecat13 #swag"
274203742847500288,RobbyRasReviews,"#CigarChat with @Cigardivat of @JDCigars today at 4PM PST http://t.co/P481jyZx Many a sampler to giveaway! #SWAG @LoganatDell"
274203742092546048,VickiEIA,"Outfit today! Youpi #jeans #high #waist #jegging #black #blond #long #swag http://t.co/jfDYHtP3"
274203741140430849,RobbyRas,"#CigarChat with @Cigardivat of @JDCigars today at 4PM PST http://t.co/4JvonAxY Many a sampler to giveaway! #SWAG @LoganatDell"
274203731367698432,bay_elly,"#snow#SWAG Snow* WOW!* I'm glad) http://t.co/xV6ygghm"
274203727336980482,_Zach_Lewis,"Ayye found a purple iPhone #Swag"
274203725453733889,_N_OAH,"Try application #aoret2.tk to add followers,retweets,favorites #FollowMe #InstantFollow #Openfollow #F4F #jfb #TFB #swag #FF 73132"
274203725264977920,Heree13,"RT @TeamFollowWacky: Ｒｅｔｗｅｅｔ Ｉｆ Ｙｏｕ Ｗａｎｔ Ｆｏｌｌｏｗｅｒｓ #TeamFollowBack #TeamFollowWacky #500ADay #FollowFriday #FF #TFB #FollowNGain #swag (must be following me)"
274203692473921536,deevoficial2,"Try application #aoret2.tk to add followers,retweets,favorites #FollowMe #InstantFollow #Openfollow #F4F #jfb #TFB #swag #FF 64413"
274203651646578688,QnB_Fitness,"RT @qdiggs6: @H_Josey20: Stuntin with his uncle Quandre Ray Bans on @qdiggs6 #swag http://t.co/AqnDbXQG”he learning from the best!"
274203649259999232,timjeanphilip,"timmytimmytimmytimmytimmytimmytimmytimmytimmytimmytimmytimmytimmytimmytimmytimmytimmytimmytimmytimmytimmytimmy I AM #SWAG #swag # yolo"
274203594524352513,IvanPaust,"Klara med dagens #photosession #modell #hard #work #work #swe #sexy #swag #hot #trampoline #flyingmodell #fu http://t.co/QUW3BmbL"
274203563528433664,rubii_soomers,"RT @JorgeCavazosR: Con mi nuevo sombrerito yeaaa #Swag http://t.co/XXl7ICwU"
274203561250934784,SolAllen1,"SWAGReally Romantic - #SWAG hahaha,...."
274203553428541441,Priaxx,"Birdman ft Nicki Minaj - Y.U.MAD #swag x"
274203518234132482,_alheelunaa,"Pase Lo Que Pase Fue Un Gusto & Placer Averte Conocido!!' #Swag"
274203510562766848,rubii_soomers,"RT @JorgeCavazosR: Yeaaaaaa #Swag http://t.co/IZvPGR9D"
274203482486079488,rubii_soomers,"RT @JorgeCavazosR: La Ciudad De Monterrey En Plena Hora De La Tarde #Swag http://t.co/Cy29NikA"
274203440014577664,LeilaCltn,"Try application #aoret2.tk to add followers,retweets,favorites #FollowMe #InstantFollow #Openfollow #F4F #jfb #TFB #swag #FF 35192"
274203428320858112,Chris_ituation,"@MrSisterClothin Love both of these! #swag"
274203424617267201,WesDougieWes,"Everything is purple #swag"
274203423174451200,LANIERJ,"#lanierj #grace #mercy #motivation #ministry #amen #swag #nofilter #jesus #jesusfreak #god #christ #change # http://t.co/OJhxQ6wJ"
